,g+AF8-cat,g,g+AF8-sign,mock+AF8-nor,UVA1,X2746.6h1,X2747.6h1,X2748.6h1,X2749.6h1,X2750.6h1,X2751.6h1,X2746.24h1,X2747.24h1,X2748.24h1,X2749.24h1,X2750.24h1,X2751.24h1,std,UVA1,X2746.6h1,X2747.6h1,X2748.6h1,X2749.6h1,X2750.6h1,X2751.6h1,X2746.24h1,X2747.24h1,X2748.24h1,X2749.24h1,X2750.24h1,X2751.24h1,P+AC0-value,X2746.6h1,X2747.6h1,X2748.6h1,X2749.6h1,X2750.6h1,X2751.6h1,X2746.24h1,X2747.24h1,X2748.24h1,X2749.24h1,X2750.24h1,X2751.24h1
TIMP1,Collagen,TIMP1,up,1,1.1059945692,1.2074404885,1.1219194384,0.950037446,1.1319650627,0.8899153216,0.9432411198,0.7513478247,0.9075944075,0.899733054,0.7104798136,0.711873814,0.8403506596,,0.0222612564,0.0017193019,0.1044446687,0.026695314,0.0011617959,0.0249942057,0.0146718963,0.0211111564,0.008644593,0.0233281852,0.04711771,0.0517012156,0.0045055327,,0.0963824966,0.8654227529,0.0258969689,0.3463773406,0.0122911793,0.0200858585,0.003768365,0.0283700062,0.0120902504,0.024592719,0.0312867583,0.0311398647
ELN,Collagen,ELN,up,1,0.825348668,0.6318746807,0.7458167577,1.6277417457,1.5160131882,2.2534247636,1.8629939786,1.1104128291,0.7608779778,0.7190842531,0.657879665,0.6719037816,0.6128507964,,0.0145355139,0.0326392338,0.0440881401,0.2385444204,0.0396005191,0.0499986653,0.0165713615,0.1294186118,0.0409139691,0.0477876911,0.0473936561,0.1223478724,0.0019701751,,0.0425500015,0.2122732523,0.1307820677,0.0128642856,0.0092633787,0.0002543931,0.1939783385,0.2418368994,0.1722308518,0.1022503083,0.3235702186,0.0279624766
FBN1,Collagen,FBN1,up,1,1.3898563592,1.4237145399,1.3325248499,0.8733916864,1.0282546856,0.953268642,0.8939775289,0.7827907349,1.1203398679,0.9766705217,0.8141453479,0.756599492,1.1424623369,,0.0168527806,0.0111256105,0.1035579047,0.0419871217,0.0116523862,0.0199204743,0.0253660686,0.0384707929,0.0414805548,0.0243084755,0.0445617211,0.0800402664,0.0038491002,,0.160173292,0.5758017833,0.0180050996,0.0028514321,0.0020407591,0.0036406576,0.0114059673,0.0409533872,0.0042898831,0.0181502653,0.0478353039,0.0234913717
LOX,Collagen,LOX,up,1,1.2155700663,1.2317911463,1.2526380068,1.200276298,1.2015864279,1.1025770347,1.1775967424,1.0126244484,1.2705672732,1.0923643402,1.1936323601,1.1283198783,1.1399508581,,0.0106668914,0.0178699603,0.0539483789,0.0303591693,0.0315328742,0.015155669,0.0015484706,0.051409644,0.0057418509,0.0110285166,0.016592183,0.0336484866,0.0024225733,,0.4066468849,0.5057827108,0.6045400986,0.6431806943,0.0181347662,0.1188811389,0.1012419427,0.0434233077,0.007705474,0.2768728335,0.143734289,0.0524866058
HAS2,Collagen,HAS2,up,1,1.2649505616,1.2776056693,1.614741884,1.540292989,2.252698804,1.3010279824,1.6566650794,0.1947256379,1.0394470743,1.3341839164,1.6399904765,0.923881684,1.7365704042,,0.0172236088,0.0442632485,0.1270023277,0.0157262481,0.0292262616,0.0057200761,0.048311668,0.0090673506,0.0039890005,0.0502328847,0.0673535005,0.0915251796,0.0140506303,,0.758735414,0.1544617268,0.0036944067,0.0019419579,0.1799782062,0.0346257871,0.0010339991,0.0265125402,0.278699687,0.0655507926,0.1095634427,0.0013727695
HAS3,Collagen,HAS3,up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1
IL+AC0-1B,Anti+AC0-inflammatory,IL+AC0-1B,down,1,0,0,0,0,0,0,2.232,0,0,0,0,0,0,,0,0,0,0,0,0,0.0190918831,0,0,0,0,0,0,,1,1,1,1,1,0.003851897,1,1,1,1,1,1
IL+AC0-8,Anti+AC0-inflammatory,IL+AC0-8,down,1,0,2.969,2.21475,2.851,6.79625,3.69925,83.60225,0,0,1.667,2.34425,0,3.66925,,0,0.1315218613,0.1368251622,0.1187939392,0.0611647366,0.3079450032,0.8304969145,0,0,0.0537401154,0.0456083874,0,0.1644023266,,0.0199358254,0.0277912406,0.0187526391,0.0040517363,0.0374294815,0.0044717935,1,1,0.0145076054,0.0087561081,1,0.0201636522
IL+AC0-6,Anti+AC0-inflammatory,IL+AC0-6,down,1,2.1846867327,3.6497226516,3.9011548604,1.9087933073,1.8234973175,2.2319723561,10.3356369919,0.9454396654,1.5766118032,1.2217877603,0.5614258434,1.1238519596,1.2199690825,,0.0762597656,0.0339503847,0.0888625599,0.1163829475,0.0225049899,0.0057869974,0.1310433409,0.0227621897,0.0334359849,0.0069443969,0.0038579983,0.0096449957,0.0748451663,,0.008470471,0.0025827088,0.1259691475,0.0741609336,0.541285007,0.0007517599,0.0174725258,0.0288652765,0.0342065773,0.0208233453,0.0298269202,0.0060872488
IL+AC0-10,Anti+AC0-inflammatory,IL+AC0-10,up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1
IL+AC0-18,Anti+AC0-inflammatory,IL+AC0-18,down,1,1.111436486,1.1074000791,1.0701226751,0.6573802928,0.8794618124,0.5103284527,0.5695290859,0,0.7501385042,0.8390185991,0.5578947368,0,1.0033240997,,0.0218260107,0.0089542608,0.0072753369,0.0810360601,0.0029101348,0.0114166825,0.0434281648,0,0.1690116723,0.0204828715,0.0265269976,0,0.0439878061,,0.840773786,0.2010272199,0.0637295544,0.0390381654,0.0036153065,0.0127351021,0.0088366138,0.1984302872,0.0060724989,0.002296611,0.0088366138,0.1306858513
TNF+AC0-a,Anti+AC0-inflammatory,TNF+AC0-a,down,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1
IL+AC0-16,Anti+AC0-inflammatory,IL+AC0-16,down,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1
IL23,Anti+AC0-inflammatory,IL23,down,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1
IL12A,Anti+AC0-inflammatory,IL12A,down,1,0,1.683,1.74825,2.37825,2.22975,2.358,2.23975,1.67125,2.0505,1.6545,1.703,0,0,,0,0.0155563492,0.0625789501,0.2372343251,0.2499622471,0.6003336572,0.1750089283,0.0258093975,0.1590990258,0.0183847763,0.028991378,0,0,,0.0041627377,0.0161118777,0.0448284329,0.0503574771,0.1133918687,0.0351371815,0.0069534927,0.0348944965,0.0050039643,0.0076611193,1,1
IFNG,Anti+AC0-inflammatory,IFNG,down,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1
TGFB,Anti+AC0-inflammatory,TGFB,up,1,0.7593761563,0.7710842708,0.8610765943,1.4850528246,1.2406625026,1.5918341424,1.3664142795,1.0218036019,0.8308398363,0.9208211144,0.930187606,1.4330179874,0.7349050925,,0.0357476099,0.0310145857,0.0357241791,0.0776965749,0.0023743224,0.0258285659,0.0294447213,0.0752363396,0.0005389087,0.0425659764,0.0296321678,0.0389732518,0.0441748922,,0.7604288064,0.1044414393,0.0219107702,0.0326646784,0.0022559797,0.0034034388,0.0833071427,0.2163250567,0.0572310467,0.0375685512,0.0031695031,0.6068476408
IL3,Anti+AC0-inflammatory,IL3,down,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1
IL4,Anti+AC0-inflammatory,IL4,up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1
PTGIS,Cardiovascular care,PTGIS,up,1,1.0002142169,0.97738227,0.8747545432,0.6475597129,0.5891499161,0.6713556357,0.6269413403,1.4049769717,0.7926202292,0.7146988468,0.6055375058,0.3650612303,0.3609732586,,0.029184028,0.0520313855,0.0127238323,0.0042160317,0.0129005522,0.0032314495,0.0109566333,0.0361013495,0.0179496919,0.0082300978,0.0306230328,0.0087350118,0.024816522,,0.6550804858,0.0666093555,0.0337190624,0.0131238788,0.0377135186,0.0185368184,0.0076331545,0.0227215107,0.0329484817,0.0057487504,0.0123591303,0.0020339675
NOS3,Cardiovascular care,NOS3,up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1
EDN1,Cardiovascular care,EDN1,down,1,2.3080354032,2.5383650429,2.2844100634,1.1982019653,1.2568123214,0.8438218691,1.1160359607,1.2091434943,1.6567008154,1.7891839153,1.332984877,1.2659418775,3.3773782145,,0.2237274226,0.0034495418,0.1061473278,0.0617960766,0.0053221501,0.0197116672,0.037255051,0.0565724848,0.0823947688,0.0276948924,0.0702720935,0.0353824426,0.1831213882,,0.3831049074,0.9091784869,0.0723700875,0.0949361858,0.0666486448,0.0770276712,0.0756788276,0.1193653384,0.1838060104,0.0793913736,0.0892698283,0.0375626732
PLAT,Cardiovascular care,PLAT,up,1,1.0938817726,1.3797438141,0.9702442517,0.9697668868,0.9014241388,0.6834274803,0.9691304002,0.8168509826,1.0875964675,1.1159996818,0.8184421991,0.6185854085,1.2920677858,,0.0786486817,0.0848370615,0.0131643716,0.0097888917,0.0571581263,0.0357800869,0.0280164832,0.0579457383,0.0238533913,0.0068634758,0.0318420271,0.0991265931,0.0564830303,,0.0736396013,0.2618130853,0.2640359909,0.118746168,0.0496267793,0.2400255645,0.0653153512,0.9292688561,0.7590889426,0.0909816109,0.0374467662,0.1134502732
PROC,Cardiovascular care,PROC,up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1
VWF,Cardiovascular care,VWF,down,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1
F3,Cardiovascular care,F3,down,1,0.9476586584,1.4856673905,1.645434721,1.6398923136,2.3491623618,1.7507218614,2.1146701756,0.5139838842,0.9426323645,0.9310035384,1.1715867931,0.420762639,0.7809819174,,0.0131118006,0.0250202614,0.0698726144,0.081379962,0.0328386821,0.0006575627,0.0150844888,0.0239615855,0.0222716493,0.0097582307,0.0341538076,0.0390526498,0.0004537183,,0.0052272563,0.0386123614,0.0475373874,0.0035506046,0.0072034594,0.0001693524,0.0062090848,0.8142768749,0.2958672367,0.0424794633,0.0195559909,0.0351945289
SERPINE1,Cardiovascular care,SERPINE1,down,1,1.0585915862,1.1006776164,1.132287345,1.3742658256,1.8129203897,1.4163565788,1.3811020392,0.4561283362,0.8644450097,0.8965088216,0.8117470601,0.8511322057,1.3474398272,,0.0239273003,0.0005477058,0.0551035917,0.0526761291,0.0109903751,0.0339214997,0.0352144289,0.0262144968,0.0104216771,0.0138720327,0.0338623398,0.0677180003,0.0072117776,,0.2432512171,0.2792255411,0.0411041433,0.0039956645,0.0097738443,0.0131186538,0.001805305,0.0283991618,0.0263392663,0.0187726151,0.1142200074,0.0245796833
PDGFC,Cardiovascular care,PDGFC,down,1,0.9225569042,0.8571973521,0.8824027121,0.736829425,0.6509367399,0.5939034464,0.71724852,0.8690772567,0.9655563076,0.9500768666,1.0378711395,0.6404909137,0.6784653068,,0.0173564196,0.0044090741,0.0148010225,0.0055975366,0.0108340726,0.0248076332,0.0059342,0.0087654178,0.0097145653,0.0112680845,0.0112275227,0.0400142742,0.0110044324,,0.1013215962,0.1336305773,0.0268525617,0.0060205384,0.006573566,0.0225620597,0.0953925705,0.1235124865,0.2213925253,0.024064728,0.0344994483,0.0070134618
FGF2,Cardiovascular care,FGF2,down,1,1.0395919634,1.0783403396,1.0433745374,1.1752242585,1.1435171803,0.8518059254,1.2089488668,0.4453314236,0.6714115986,0.5994671833,0.5303626481,0.3607355608,0.9131423798,,0.0141092485,0.0142894518,0.0728254803,0.0306545783,0.0120235625,0.0043015188,0.0019855731,0.0180670462,0.0124757393,0.0110274389,0.0217144939,0.0200008943,0.0214825656,,0.1121709293,0.9535340998,0.0616253738,0.0166678357,0.0216582093,0.0341046922,0.001035316,0.0014110906,0.0011368231,0.0027904766,0.0012068581,0.0290432209
IGF2BP3,Cardiovascular care,IGF2BP3,down,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1
IGF1R,Cardiovascular care,IGF1R,down,1,0.6968916251,0.7271054305,0.71924248,1.1366145816,0.9656372336,1.475658313,1.1179107973,0.9313079265,0.7157961656,0.7017097735,0.8414695352,1.384648844,0.6148158062,,0.0171293643,0.0294795413,0.0439117404,0.0014195606,0.0295268599,0.0002365934,0.0185962435,0.0002839121,0.0074290337,0.0349211901,0.0237066616,0.035536333,0.0460410813,,0.3620391335,0.6016996095,0.0168056852,0.016481011,0.0098898552,0.0018609818,0.0328352144,0.3390645029,0.8821440358,0.0253178469,0.0072295564,0.2098062815
IL+AC0-8,Cardiovascular care,IL+AC0-8,down,1,0,2.969,2.21475,2.851,6.79625,3.69925,83.60225,0,0,1.667,2.34425,0,3.66925,,0,0.1315218613,0.1368251622,0.1187939392,0.0611647366,0.3079450032,0.8304969145,0,0,0.0537401154,0.0456083874,0,0.1644023266,,0.0199358254,0.0277912406,0.0187526391,0.0040517363,0.0374294815,0.0044717935,1,1,0.0145076054,0.0087561081,1,0.0201636522
IL+AC0-6,Cardiovascular care,IL+AC0-6,down,1,2.1846867327,3.6497226516,3.9011548604,1.9087933073,1.8234973175,2.2319723561,10.3356369919,0.9454396654,1.5766118032,1.2217877603,0.5614258434,1.1238519596,1.2199690825,,0.0762597656,0.0339503847,0.0888625599,0.1163829475,0.0225049899,0.0057869974,0.1310433409,0.0227621897,0.0334359849,0.0069443969,0.0038579983,0.0096449957,0.0748451663,,0.008470471,0.0025827088,0.1259691475,0.0741609336,0.541285007,0.0007517599,0.0174725258,0.0288652765,0.0342065773,0.0208233453,0.0298269202,0.0060872488
ICAM1,Cardiovascular care,ICAM1,down,1,0,0,0,0,0,0,3.4004580691,0,0,0,0,2.0200845666,0,,0,0,0,0,0,0,0.0112120526,0,0,0,0,0.1484974072,0,,1,1,1,1,1,0.0014851965,1,1,1,1,0.0330600202,1
VCAM1,Cardiovascular care,VCAM1,down,1,0,0,0,0,0,1.675,4.94775,0,0,0,0,0,0,,0,0,0,0,0,0.0770746391,0.3482500897,0,0,0,0,0,0,,1,1,1,1,0.0207046925,0.0316591471,1,1,1,1,1,1
CASP8,Cardiovascular care,CASP8,down,1,0.9069065999,0.9480599151,0.9194315219,0.9624252339,0.7418332396,0.966770615,0.9287868718,1.0431470784,0.8726547723,1.1315372425,0.9047594704,0.5470579214,0.9704514084,,0.0523434701,0.0132304628,0.0031087973,0.0148933078,0.0304372941,0.0655739329,0.0080973324,0.0279791753,0.0208217119,0.0059284041,0.0128689747,0.0795996694,0.0619590523,,0.4596530091,0.792278235,0.3611706324,0.0855640406,0.4235707178,0.6597329812,0.1172546369,0.5185229129,0.1003467082,0.9634029853,0.0451297989,0.3860243662
Tgm1,Skin moisturizing,Tgm1,up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1
Krt1,Skin moisturizing,Krt1,up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1
Keratin 10,Skin moisturizing,Keratin 10,up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1
Keratin 14,Skin moisturizing,Keratin 14,up,1,0,0,0,4.08775,3.155,2.80225,2.3245,0,2.23,1.81475,1.67175,0,5.413,,0,0,0,0.3235013524,0.0791959595,0.008131728,0.0304055916,0,0.2729432175,0.2400627522,0.1919794911,0,0.1053589104,,1,1,0.0355888252,0.0112975531,0.0013074172,0.005886748,1,0.0549592161,0.0593777814,0.0515837269,1,0.008761936
AQP3,Skin moisturizing,AQP3,up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1
FLG+AC0-F,Skin moisturizing,FLG+AC0-F,up,1,1.4046852916,1.3735602803,1.4276005172,1.1964334045,1.1304243226,1.0491384236,1.0606561814,0.7813430367,1.0393347969,0.7586683908,0.6852614802,0.2727272727,0.4339458094,,0.0065494508,0.0081230202,0.0848026296,0.0047207081,0.0165862716,0.0326196675,0.0292598842,0.0835267626,0.0773600719,0.004337948,0.014672471,0.0025092052,0.0415082079,,0.0560398647,0.7676471183,0.0012877598,0.0124958656,0.0344215155,0.0303299153,0.058749513,0.0926395753,0.0002185967,0.0023175796,0.0006372756,0.016558091
SMPD1,Skin moisturizing,SMPD1,up,1,0.7495090162,0.6158084016,0.6699058842,0.7265794373,0.6536077741,0.8185017981,0.6530721555,1.0899584258,0.9988777514,0.9404698141,0.6328716811,0.9340934017,0.5199326651,,0.0054827062,0.0505707505,0.0592637254,0.0456291008,0.0890218347,0.0238425578,0.0280267283,0.1874941234,0.0169891751,0.0772989432,0.0123721594,0.0098472289,0.0001803522,,0.1628084133,0.3064077599,0.6060636003,0.3690329119,0.1377975188,0.1182888488,0.2361513543,0.0183175263,0.175935548,0.022681075,0.0056710922,0.0106857451
GBA,Skin moisturizing,GBA,up,1,1.2851398529,1.358411953,1.0334878018,0.8461722289,0.8967416151,0.8708490919,0.8703919205,1.1372968705,0.9365674743,0.9346556668,0.8285087902,0.9694630315,0.9780453846,,0.013063005,0.0050694452,0.0579680032,0.0028653386,0.0013812401,0.0122254445,0.0180148978,0.012049116,0.0405408672,0.0251415091,0.0008669486,0.0532365211,0.0324885311,,0.0513769724,0.0896757872,0.0096867973,0.0140639171,0.0009555647,0.0022916671,0.0073256078,0.0349178788,0.0101996372,0.0124913115,0.0620965324,0.0253353899
HAS2,Skin moisturizing,HAS2,up,1,1.2649505616,1.2776056693,1.614741884,1.540292989,2.252698804,1.3010279824,1.6566650794,0.1947256379,1.0394470743,1.3341839164,1.6399904765,0.923881684,1.7365704042,,0.0172236088,0.0442632485,0.1270023277,0.0157262481,0.0292262616,0.0057200761,0.048311668,0.0090673506,0.0039890005,0.0502328847,0.0673535005,0.0915251796,0.0140506303,,0.758735414,0.1544617268,0.0036944067,0.0019419579,0.1799782062,0.0346257871,0.0010339991,0.0265125402,0.278699687,0.0655507926,0.1095634427,0.0013727695
HAS3,Skin moisturizing,HAS3,up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1
SREBP+AC0-1c (SREBF1),Fatty liver,SREBP+AC0-1c (SREBF1),down,1,0.9107914557,0.9076840762,0.8763839157,1.0066880685,1.2043050582,1.3329011812,0.8777421081,1.0335020784,0.8850886941,0.6729637404,0.6259208956,1.9576285138,0.780672511,,0.0105060521,0.0322457223,0.0237186495,0.0568374509,0.016937735,0.0307614877,0.0018916714,0.0134454185,0.0471462726,0.0218851833,0.01589004,0.0064316829,0.0100695125,,0.9150300377,0.2553417556,0.2434921295,0.0051268672,0.0188273113,0.1315749341,0.0115080023,0.5799235593,0.0166548523,0.0042589453,0.0002914071,0.0062412074
PPAR+AC0-g,Fatty liver,PPAR+AC0-g,down,1,0,0,0,0,0,0,0,0,0,0,0,4.21925,1.795,,0,0,0,0,0,0,0,0,0,0,0,1.0249512793,1.1242997821,,1,1,1,1,1,1,1,1,1,1,0.1082974634,0.2654282162
PPAR+AC0-a,Fatty liver,PPAR+AC0-a,up,1,0.7933164841,0.7654685014,0.9604043808,1.0421698025,0.9936347468,0.9668164373,1.1394271272,1.3299634934,0.9246466348,1.0258354395,1.0921089582,1.4502012543,1.1616119068,,0.0168122365,0.0731398477,0.0387872858,0.0354116005,0.0624832726,0.0082737384,0.0305135473,0.0054275724,0.0091342072,0.0626156524,0.0205188713,0.0001985697,0.0348820812,,0.6855180668,0.0666905827,0.0314832157,0.1189419594,0.0173363988,0.0126315526,0.0072009118,0.0228222519,0.1011768415,0.0045894559,0.011502894,0.0172895748
SCD1 (SCD),Fatty liver,SCD1 (SCD),down,1,1.1321026073,0.9806588393,1.0281686648,0.8665087965,0.906641705,0.8896561985,0.8721623666,0.8290043022,0.5201036488,0.4863805993,0.4440656112,0.8114484794,0.5208723359,,0.035628426,0.0251958899,0.0081531585,0.0152893639,0.0055932421,0.0138691363,0.0102396658,0.0110637484,0.0159556435,0.0097487229,0.0091701116,0.0198305856,0.0103098004,,0.0480716104,0.1367486124,0.0323863504,0.0650434166,0.0400670715,0.0456917205,0.036342205,0.0097785847,0.0165595134,0.0161246514,0.0178193932,0.0168405964
ACC (ACACA),Fatty liver,ACC (ACACA),down,1,0.83876532,0.6662732637,0.8807989106,0.6503858375,0.5688606446,0.5839310032,0.6789832047,1.082796187,0.7070358602,0.8357694054,0.6961416251,0,0,,0.0319690583,0.0196436382,0.0341516848,0.0315838889,0.0112983017,0.0351788031,0.0288877033,0.0686885389,0.072925402,0.0205423668,0.0410847335,0,0,,0.0356317839,0.3321159783,0.027293173,0.0331448911,0.0173834686,0.035222647,0.0823330131,0.1994066546,0.9229069767,0.0665029789,0.0171495697,0.0171495697
CETP,Increase HDL,CETP,up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1
SCARB1,Increase HDL,SCARB1,up,1,1.1808555107,0.9354883656,1.1648321025,0,0,0,0,1.0401281873,0.830430542,0,0,0,0,,0.0250250972,0.0122169766,0.085518836,0,0,0,0,0.0652228911,0.021281185,0,0,0,0,,0.0188520084,0.8365837415,0.0095364922,0.0095364922,0.0095364922,0.0095364922,0.1677615061,0.0048432525,0.0095364922,0.0095364922,0.0095364922,0.0095364922
apoA+AC0-I (APA1),Increase HDL,apoA+AC0-I (APA1),up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1
LDLR,Increase HDL,LDLR,up,1,0.8468576239,0.9723311402,1.1573957156,1.0250991338,1.0531002858,1.4138366452,1.3026295386,0.8934671363,0.5599787333,0.7213841076,0.5100241466,0.5747768104,0.678296892,,0.0568304513,0.0171681848,0.0182333642,0.0079575163,0.026754799,0.0202384077,0.0149751685,0.0207396686,0.0101505326,0.0132834131,0.0219614919,0.0265041686,0.0029135788,,0.1737421241,0.0601433354,0.135355208,0.0793611978,0.026787824,0.042906917,0.4413365249,0.0804599549,0.1821460305,0.0480493183,0.0546829946,0.1481585238
ABCA1,Increase HDL,ABCA1,up,1,1.1659509202,1.2309815951,1.0960122699,1.651993865,1.5855828221,1.6075153374,1.3478527607,4.3518404908,3.0420245399,1.2688650307,1.3987730061,3.8996932515,1.1331288344,,0.2980259869,0.1245028504,0.0715782938,0.0379581861,0.0724459095,0.0379581861,0.0134480431,0.4403149588,0.0186537372,0.0002169039,0.071144486,0.5422598015,0.09847438,,0.8135855176,0.7968908931,0.2560352777,0.2828332362,0.2792838672,0.546523729,0.0198495664,0.070244459,0.7107969628,0.4623621418,0.0439354754,0.9031123229
SRD5A1,Hair,SRD5A1,down,1,1.0164197293,1.0497241999,0.9004072863,0.8657558848,1.0245814893,0.6452280162,0.8000930024,0.6561157078,1.0288467706,1.0027900712,0.8561509845,0.6746841126,1.1167500481,,0.0114744414,0.0602975092,0.1130890103,0.0782348276,0.0134473196,0.0110435829,0.051272158,0.009705654,0.0035148981,0.0021769691,0.0424735745,0.0373259496,0.0222912567,,0.5761393153,0.3822426749,0.2178605773,0.58222613,0.0009273087,0.0926355103,0.0010147709,0.3532928501,0.3345072057,0.0992043938,0.0335333584,0.0549338038
SRD5A2,Hair,SRD5A2,down,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1
AR,Hair,AR,down,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1
KROX20,Hair,KROX20,up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1
SCF,Hair,SCF,up,1,0.9476173061,0.769266098,0.902030159,1.1648621754,1.4335031511,0.7613053573,1.3972290499,0.8862872841,1.0967706269,1.3463177322,1.739073118,0.8251358684,1.5423594751,,0.007649794,0.0060380449,0.0407989012,0.0582996091,0.0143493777,0.0046187435,0.0058696532,0.0174766519,0.0219510597,0.0109695159,0.0103079771,0.0127376286,0.0298293853,,0.0019505013,0.3522719078,0.1144294437,0.0025200144,0.0031311051,0.0003597153,0.0867004333,0.0438424409,0.0010954393,0.0002369648,0.0143480765,0.0155619516
VEGFA,Hair,VEGFA,up,1,1.2433645773,1.8571294401,1.7739166369,1.4525424047,2.6722016643,2.6817814678,1.6518962376,1.3805436069,1.5094389241,1.1881210436,1.6066645378,4.058568289,1.1422319064,,0.0144776451,0.0250237462,0.1080112017,0.0184091891,0.0459565615,0.0753900124,0.0185420115,0.0457971746,0.0406967932,0.0163105946,0.0121665348,0.0687488908,0.0043300113,,0.0034095057,0.0862580459,0.007603396,0.0076642459,0.0191731218,0.0021986398,0.1221446982,0.045307952,0.0712542425,0.0015745006,0.0080174572,0.046850916
IGF1,Hair,IGF1,up,1,1.3277581216,1.1841428112,1.1888066903,0,0,0,0,0,0,0,0,0,0,,0.0113719328,0.2222075668,0.0186499698,0,0,0,0,0,0,0,0,0,0,,0.5283639536,0.0212749802,0.0038530393,0.0038530393,0.0038530393,0.0038530393,0.0038530393,0.0038530393,0.0038530393,0.0038530393,0.0038530393,0.0038530393
TGFB,Hair,TGFB,down,1,0.7593761563,0.7710842708,0.8610765943,1.4850528246,1.2406625026,1.5918341424,1.3664142795,1.0218036019,0.8308398363,0.9208211144,0.930187606,1.4330179874,0.7349050925,,0.0357476099,0.0310145857,0.0357241791,0.0776965749,0.0023743224,0.0258285659,0.0294447213,0.0752363396,0.0005389087,0.0425659764,0.0296321678,0.0389732518,0.0441748922,,0.7604288064,0.1044414393,0.0219107702,0.0326646784,0.0022559797,0.0034034388,0.0833071427,0.2163250567,0.0572310467,0.0375685512,0.0031695031,0.6068476408
BDNF,Hair,BDNF,down,1,1.1176904145,1.1022124534,1.0197949433,1.7006541281,1.4933468458,1.850300741,1.5595888338,0.7311888811,1.2169152003,1.264704721,0.9414443465,1.2096895195,1.4981244818,,0.0149091863,0.0114099016,0.0260026632,0.0179059141,0.0262260218,0.0228198032,0.0433315676,0.0316238545,0.075718564,0.0054908988,0.0257979178,0.0641225302,0.0220008217,,0.370587232,0.0660883938,0.0009600432,0.0083035346,0.001610094,0.0269355689,0.014522641,0.3063066852,0.0262483156,0.0260745678,0.2789404432,0.0043482773
