,g+AF8-cat,g,g+AF8-sign,mock+AF8-nor,UVA1,X2746.6h1,X2747.6h1,X2748.6h1,X2749.6h1,X2750.6h1,X2751.6h1,X2746.24h1,X2747.24h1,X2748.24h1,X2749.24h1,X2750.24h1,X2751.24h1,std,UVA1,X2746.6h1,X2747.6h1,X2748.6h1,X2749.6h1,X2750.6h1,X2751.6h1,X2746.24h1,X2747.24h1,X2748.24h1,X2749.24h1,X2750.24h1,X2751.24h1,P+AC0-value,X2746.6h1,X2747.6h1,X2748.6h1,X2749.6h1,X2750.6h1,X2751.6h1,X2746.24h1,X2747.24h1,X2748.24h1,X2749.24h1,X2750.24h1,X2751.24h1
Atg1,Anti+AC0-aging,Atg1,up,1,0.8583219245,1.2360649325,1.2066888324,1.4179542343,1.150009779,1.4776843341,1.4822217876,1.2441619402,0.7890084099,0.7006062977,1.0133776648,1.4431840407,0.8947389008,,0.0061403366,0.0037616477,0.0890072217,0.0976922023,0.0137189503,0.063450145,0.0448631801,0.0302591363,0.0387781618,0.0658841523,0.0039276027,0.0085743439,0.0326378252,,0.0006470993,0.1124092625,0.0771766919,0.0073157985,0.0441953992,0.0294426985,0.0289523762,0.2329003419,0.1802212701,0.0025282715,0.000330663,0.3526579551
Atg8,Anti+AC0-aging,Atg8,up,1,1.1196153375,1.1740502455,1.1204178512,1.0102422503,1.0842911356,0.8515893851,0.9314598947,0.850501231,1.0256260286,0.9013044247,0.8833090766,0.5005372761,0.8326283002,,0.0656525645,0.0391453175,0.0817146481,0.0385490007,0.0203132459,0.0021544352,0.0037317895,0.0141192448,0.0028661682,0.0070211503,0.0056553923,0.039491566,0.0012311058,,0.4397202166,0.9923842279,0.2086640297,0.5834482621,0.1088824834,0.1530196801,0.0965046916,0.2915964693,0.1299989973,0.1213038279,0.0147721774,0.102007453
SIRT1,Anti+AC0-aging,SIRT1,up,1,1.3598336097,1.1759024929,1.21686011,0.8592372807,1.059894697,1.0458155162,1.0557640283,1.0674288041,1.2984262734,1.2185181953,1.3250138174,0.8194723216,1.1985339035,,0.0317176792,0.0120124025,0.0024683019,0.0551254087,0.0215565031,0.0196641383,0.0414674716,0.0136167987,0.0487078238,0.1153108362,0.042866176,0.0138636289,0.027069044,,0.0502167218,0.0973754827,0.0167366121,0.0124181423,0.013046389,0.0174839667,0.0242999591,0.2927171324,0.3184702754,0.460293795,0.0102946251,0.0335815713
FOXO,Anti+AC0-aging,FOXO,up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1
PARP1,Anti+AC0-aging,PARP1,down,1,1.0606791543,0.9599555271,1.0485810123,1.1170806166,1.0819168583,1.2042362341,1.0531036822,0.8762672898,0.9276938152,1.162948027,0.96715411,0.9320280406,1.4324803075,,0.0376299241,0.0314204536,0.0345385139,0.0123389907,0.0059429696,0.0004264014,0.0125255413,0.047330556,0.0258239351,0.011539488,0.0395220803,0.0653726655,0.0037310123,,0.1045965419,0.7697284489,0.2576769478,0.5699003586,0.1166557761,0.8256079119,0.0543348294,0.0663288091,0.1377144521,0.1365752698,0.1682080903,0.0435837354
PARP2,Anti+AC0-aging,PARP2,down,1,0.9868642786,1.0521972087,1.0184505034,0.6421812211,0.7702545046,0.8334269542,0.654928056,0.694680897,1.1767273042,1.2510910426,0.9134943611,0.4969537225,0.9993950655,,0.1087104493,0.04075878,0.0911725634,0.0235875399,0.0250541227,0.0824952819,0.0229153561,0.008127313,0.0100827567,0.0169879173,0.0069051606,0.0576244821,0.0333036508,,0.5473198369,0.7834950108,0.1265121651,0.2026487937,0.2615146257,0.1323231728,0.1620611903,0.24246512,0.1730092627,0.5144703055,0.0535937898,0.8984011003
NADSYN,Anti+AC0-aging,NADSYN,up,1,1.2136442414,1.2034031826,1.1340790925,1.0154403655,1.152670553,1.1342366472,1.0346620451,1.1191113912,0.8068378762,1.1430597133,1.0105561683,1.2487789507,0,,0.0020053446,0.0178252852,0.0360962025,0.0180481012,0.2125665257,0.0109179872,0.1232172838,0.124108548,0.2497768085,0.0684045318,0.0062388498,0.1996431939,0,,0.5647470422,0.1967186459,0.0387161363,0.7546547736,0.0544264262,0.2883517817,0.4763372309,0.2607500821,0.3822656061,0.0071192322,0.8447170826,0.000741071
MRPS5,Anti+AC0-aging,MRPS5,up,1,1.1500831338,1.1071128941,1.1800417957,1.3254572357,1.5213935964,1.3354027793,1.3689308541,0.8526015528,1.0671781808,1.155452507,1.1053739494,0.9105053617,1.197278704,,0.0012080473,0.004249738,0.0527226375,0.0428641083,0.0062128149,0.006536399,0.0102899747,0.0395635504,0.0013159087,0.0091897887,0.0174519696,0.0702824685,0.0034515638,,0.0313094262,0.5689767553,0.1087330173,0.0055786569,0.0126957606,0.0195049329,0.0594871745,0.000241088,0.5595459107,0.1700191339,0.1301335376,0.0182314778
Ubl+AC0-5,Anti+AC0-aging,Ubl+AC0-5,up,1,1.152548721,1.0670796851,1.0436862206,1.1955380497,1.2306865767,1.1605583731,1.1855543821,0.7361818919,0.7652640821,0.6673031818,0.6508295163,0.6362684661,1.0307645549,,0.0003907483,0.0059306906,0.0282988592,0.0031824277,0.0027439213,0.0416146924,0.0203579857,0.0433991096,0.0088178863,0.0123389625,0.0183130697,0.0240483862,0.0179353463,,0.0305856042,0.1156442596,0.0308855215,0.0138823288,0.8308418282,0.2618058884,0.0468283182,0.0101149269,0.0113600586,0.0163747632,0.0209353299,0.0659728998
SOD3,Anti+AC0-aging,SOD3,up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1
