,,HEPG2 mock,H2O2 ,2605L 6h,2277L 6h,2277H 6h,STD,HEPG2 mock,H2O2 ,2605L 6h,2277L 6h,2277H 6h,p-value,H2O2 ,2605L 6h,2277L 6h,2277H 6h
DNA repair,XRCC1,1.0,0.7795204402515723,0.8522012578616351,0.8974056603773586,0.8379716981132076,,0.0,0.47356221188798675,0.11613802024211402,0.0889507460680297,0.1544961194659797,,0.46522288899595055,0.09221685914079619,0.11641935589977799,0.14346032595954225
DNA repair,XRCC5,1.0,0.8531618791660568,0.9656186537747452,0.9317180936438262,0.788189837331014,,0.0,0.023052783885958692,0.05431790098200021,0.03682502415593427,0.040926227193631495,,0.0003837307725347835,0.33450878167252146,0.032538937208415636,0.0008568985752554712
Circadian rhythm,BMAL1 (ARNTL),1.0,0.704390702042733,1.0582296313688657,1.1035454332002816,0.7488847147217657,,0.0,0.0,0.24971180247859656,0.21686379286834062,0.07706589059269835,,0.0,0.7069531527014307,0.454718040067109,0.0048531783214315685
Circadian rhythm,CLOCK,1.0,0.5778022583310383,0.8571743321399063,0.9035527402919303,0.5419994491875516,,0.0,0.4283617805554535,0.026615186829287416,0.14162949774849054,0.2114294067336605,,0.16298828729165382,0.0007454355861031505,0.3035614693259215,0.019912735263602453
Circadian rhythm,CRY,1.0,0.5076902995627298,0.8308569190941327,0.8481084256096766,0.6605173276480955,,0.0,0.3285521419017527,0.03601829667726534,0.08379103802875804,0.091016443552328,,0.06034327605390766,0.0012429140199019136,0.0348557230465977,0.0029562843444298063
Circadian rhythm,KPNB1,1.0,0.9040784324805401,0.9777113029228529,0.9882499611510589,0.8331049486487632,,0.0,0.0579646601265001,0.04965034526513683,0.0831617810687719,0.050755553440035676,,0.04564094643268118,0.4802625405706693,0.8187118098959213,0.004695636022659978
Circadian rhythm,PER2,1.0,0.7309941520467836,1.0203460038986354,1.1174463937621832,0.9381091617933723,,0.0,0.0,0.10531475478992613,0.20868005329921213,0.18015310958451405,,0.0,0.7547229854460298,0.3848529146655811,0.583846045575934
Circadian rhythm,SIRT1,1.0,0.7450786182988735,0.9483409681812555,0.9561408938962487,0.8980747802401883,,0.0,0.48456877249007074,0.15632998508506232,0.060645089954718824,0.03210428204516996,,0.4137380079966836,0.5977149810074873,0.2785741242331738,0.005331820569953154
Skin moisturizing,AQP3,1.0,0.8280430582390285,0.9098813138283192,0.8280430582390285,0.9185757659398289,,0.0,0.0,0.14174801668345907,0.0,0.1568072494845685,,0.0,0.33262667747470465,0.0,0.4192940077465015
Skin moisturizing,FLG-F,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,
Skin moisturizing,GBA,1.0,1.1690790733295042,0.8741144935860617,0.9435764886080796,0.773406088454911,,0.0,0.2587441630275702,0.01637154816372002,0.034858979258467974,0.03358699132826111,,0.32096104387655017,0.00018374504824636298,0.048636007060394816,0.00030668199016995807
Skin moisturizing,HAS2,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,
Skin moisturizing,HAS3,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,
Skin moisturizing,Keratin 10,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,
Skin moisturizing,Keratin 14,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,
Skin moisturizing,Krt1,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,
Skin moisturizing,SMPD1,1.0,0.942951438000943,0.942951438000943,0.9641678453559642,0.942951438000943,,0.0,0.0,0.0,0.03674789549297488,0.0,,0.0,0.0,0.1665097045003076,0.0
Skin moisturizing,Tgm1,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,
Anti-oxidation,CAT,1.0,0.8412644422256114,0.8887194285651588,0.847568000526668,0.7562185233544366,,0.0,0.06628390175885977,0.04057538670613318,0.01765401884707228,0.031574122207874276,,0.014284764849918318,0.008969192057560582,0.000116450944433906,0.00018080590013662997
Anti-oxidation,GPX1,1.0,1.232622074835426,1.0939546873506307,1.0498946792414268,1.3158007509254712,,0.0,0.04953331501166302,0.09927456357379946,0.12667629517748624,0.05648642713968439,,0.0012426691201237892,0.1765074602971411,0.5325627807722941,0.0006364579157488532
Anti-oxidation,SOD1,1.0,1.045034740137966,0.9063352832569734,0.9128978849234226,1.078819602016648,,0.0,0.034129653959672865,0.025409173023728263,0.04574129533690715,0.053853268870830424,,0.08427628165692405,0.003088040061763522,0.02998313667432829,0.06431981508891618
Anti-oxidation,SOD2,1.0,1.0522492713799678,0.9223455671041773,0.8756325885217447,1.0162633681959894,,0.0,0.08435176085502555,0.08275020991259045,0.07604824680339087,0.09583495583700402,,0.3437444152037376,0.17940521447690405,0.04722263997024626,0.7834308001521194
Whitening,MC1R,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,
Whitening,MITF,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,
Whitening,TYR,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,
Whitening,TYRP1,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,
allergy,ABR,1.0,0.9705594319990206,1.104296731546089,0.9006916391235157,1.004774146162321,,0.0,0.31869099039425575,0.08047566368701482,0.06893332464341333,0.05006350211850499,,0.8806310936223913,0.08815708239540947,0.06710514728320097,0.8768204551228499
allergy,CD40,1.0,0.9190523857190526,1.1490824157490824,1.05985985985986,1.1106439773106442,,0.0,0.4505300934301067,0.06540584763779812,0.22860338307645683,0.17487167569148723,,0.7711917702696413,0.01684710731596424,0.6736772962792575,0.33467722895628726
allergy,DYNLL2,1.0,1.0173186866215829,0.9195391513575465,0.921657071238514,0.7188528380796634,,0.0,0.0688650249681582,0.04102701042677994,0.007802306725259915,0.01303810509535301,,0.6856099004592613,0.027356818464996106,6.41637003548353e-05,3.068733194107461e-06
allergy,ERBB2,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,
